,the_year,the_month,day_of_month,the_day,store_country,store_state,store_type,yearly_income,gender,total_children,education,member_card,num_cars_owned
1076,1998,3,9,Monday,USA,CA,Supermarket,$30K - $50K,M,0,High School Degree,Silver,3
1225,1998,11,28,Saturday,USA,CA,Supermarket,$50K - $70K,F,0,Bachelors Degree,Bronze,3
1934,1998,7,26,Sunday,USA,CA,Gourmet Supermarket,$10K - $30K,F,5,Partial High School,Normal,1
1970,1997,8,1,Friday,USA,CA,Supermarket,$110K - $130K,F,1,High School Degree,Bronze,1
2235,1998,8,22,Saturday,USA,CA,Gourmet Supermarket,$70K - $90K,F,1,Bachelors Degree,Bronze,3
2237,1997,4,14,Monday,USA,CA,Gourmet Supermarket,$70K - $90K,F,1,Bachelors Degree,Bronze,3
3228,1998,11,21,Saturday,USA,CA,Gourmet Supermarket,$30K - $50K,M,1,High School Degree,Bronze,2
3342,1997,3,2,Sunday,USA,CA,Supermarket,$10K - $30K,F,3,Partial High School,Normal,1
4267,1997,10,13,Monday,USA,CA,Supermarket,$30K - $50K,F,0,High School Degree,Normal,3
4329,1997,12,2,Tuesday,USA,CA,Supermarket,$30K - $50K,F,4,Partial College,Bronze,2
4838,1998,9,5,Saturday,USA,CA,Supermarket,$50K - $70K,M,0,Bachelors Degree,Bronze,1
4948,1998,9,21,Monday,USA,CA,Gourmet Supermarket,$30K - $50K,F,2,High School Degree,Bronze,4
5681,1997,4,27,Sunday,USA,CA,Supermarket,$50K - $70K,F,5,Bachelors Degree,Bronze,2
5742,1997,12,29,Monday,USA,CA,Supermarket,$30K - $50K,M,4,High School Degree,Bronze,3
5906,1997,7,5,Saturday,USA,CA,Supermarket,$90K - $110K,M,3,Partial High School,Bronze,3
6121,1997,9,6,Saturday,USA,CA,Supermarket,$10K - $30K,F,4,Partial College,Normal,1
6188,1997,12,4,Thursday,USA,CA,Supermarket,$30K - $50K,F,4,High School Degree,Silver,3
6197,1997,5,19,Monday,USA,CA,Gourmet Supermarket,$70K - $90K,M,1,Bachelors Degree,Bronze,2
6278,1998,4,26,Sunday,USA,CA,Supermarket,$30K - $50K,M,5,High School Degree,Normal,3
7087,1997,3,2,Sunday,USA,CA,Supermarket,$30K - $50K,M,2,Bachelors Degree,Bronze,3
7252,1998,10,12,Monday,USA,CA,Gourmet Supermarket,$70K - $90K,M,5,Bachelors Degree,Bronze,3
7948,1997,7,17,Thursday,USA,CA,Gourmet Supermarket,$10K - $30K,M,3,Partial High School,Normal,1
8282,1997,2,15,Saturday,USA,CA,Supermarket,$70K - $90K,M,2,Bachelors Degree,Bronze,3
8283,1997,2,15,Saturday,USA,CA,Supermarket,$70K - $90K,M,2,Bachelors Degree,Bronze,3
8540,1998,9,22,Tuesday,USA,CA,Supermarket,$10K - $30K,M,2,Partial High School,Normal,1
9134,1998,8,11,Tuesday,USA,CA,Supermarket,$30K - $50K,M,4,Partial College,Bronze,2
9531,1998,2,5,Thursday,USA,CA,Supermarket,$70K - $90K,F,3,Graduate Degree,Silver,2
9570,1998,2,20,Friday,USA,CA,Supermarket,$10K - $30K,M,1,Partial High School,Normal,2
9754,1998,11,6,Friday,USA,CA,Supermarket,$10K - $30K,F,3,Partial High School,Normal,0
99328,1998,4,11,Saturday,USA,CA,Gourmet Supermarket,$10K - $30K,F,3,Partial High School,Bronze,1
99614,1998,12,12,Saturday,USA,CA,Gourmet Supermarket,$150K +,F,3,Partial High School,Golden,2
99933,1998,11,6,Friday,USA,CA,Supermarket,$30K - $50K,M,3,Partial High School,Golden,2
100307,1997,12,10,Wednesday,USA,CA,Supermarket,$130K - $150K,F,0,Graduate Degree,Bronze,3
